color00,mag00,color10,mag10,color01,mag01,color11,mag11
1.2897229743456062,10.203514832159769,1.2897229743456045,25.50351483215977,1.453132490040785,10.691539613165386,1.4531324900407867,25.991539613165386
1.27174285590492,10.026480910677105,1.2717428559049182,25.326480910677105,1.4362401852439017,10.515659536004401,1.4362401852439035,25.815659536004404
1.269936953524276,10.007407313233397,1.269936953524276,25.307407313233398,1.434442528334003,10.496614449710016,1.434442528334003,25.796614449710017
1.2681230829166363,9.988258155231991,1.2681230829166381,25.288258155231993,1.4326369374980565,10.47749392770562,1.4326369374980565,25.77749392770562
1.2663020060416095,9.969034272543485,1.2663020060416095,25.269034272543486,1.430824171488597,10.458298793956688,1.4308241714885988,25.75829879395669
1.264476907688504,9.94976221908742,1.264476907688504,25.249762219087422,1.4290074016621546,10.439055552609634,1.4290074016621546,25.739055552609635
1.2626455283369804,9.930426467561317,1.2626455283369786,25.230426467561315,1.427184377799012,10.419748711569527,1.4271843777990156,25.71974871156953
1.2608992278950755,9.911167230505116,1.2608992278950772,25.21116723050512,1.4254506677223393,10.4005209093541,1.425450667722341,25.7005209093541
1.2593596553037152,9.892252216235276,1.2593596553037116,25.192252216235275,1.4239329695906768,10.381642620087067,1.4239329695906768,25.681642620087068
1.257810977698096,9.873234838963798,1.2578109776980995,25.1732348389638,1.4224062934635633,10.36266218432813,1.4224062934635633,25.66266218432813
1.2562670585914084,9.854290588560811,1.2562670585914084,25.154290588560812,1.4208843156602757,10.343754764087514,1.4208843156602775,25.643754764087515
1.2547324283986256,9.835517540722053,1.2547324283986256,25.135517540722056,1.4193715039073975,10.325018327480363,1.4193715039073957,25.625018327480362
1.253197083770754,9.816763352835624,1.2531970837707576,25.116763352835626,1.4178579831373792,10.306300766493111,1.417857983137381,25.606300766493113
1.251679794619255,9.79831198792151,1.2516797946192568,25.098311987921512,1.4163622685565969,10.287885599887337,1.4163622685565969,25.587885599887336
1.250264253058349,9.781522203189358,1.2502642530583472,25.08152220318936,1.4149669053171667,10.27112960071988,1.414966905317165,25.57112960071988
1.2488654479278445,9.765037539276255,1.248865447927841,25.065037539276254,1.4135880305063733,10.254678320175412,1.413588030506375,25.554678320175412
1.2474855231390194,9.74884481635751,1.2474855231390194,25.04884481635751,1.412227761929648,10.238518528553215,1.4122277619296462,25.538518528553215
1.2461233003667171,9.732900748564713,1.246123300366719,25.032900748564714,1.4108849421062466,10.222606969284216,1.4108849421062502,25.52260696928422
1.2447801437158006,9.71718329194508,1.2447801437158006,25.01718329194508,1.4095609203041963,10.206921567196137,1.4095609203041946,25.506921567196137
1.2434545701349382,9.70165123454499,1.24345457013494,25.00165123454499,1.408254237600186,10.191421146599849,1.4082542376001825,25.491421146599848
1.242137282069864,9.686272438785792,1.2421372820698657,24.986272438785793,1.4069557215198483,10.176073789661642,1.4069557215198465,25.47607378966164
1.2408401728731153,9.671034981803103,1.240840172873117,24.971034981803104,1.4056771112405944,10.160867294113348,1.4056771112405926,25.46086729411335
1.2395610277888895,9.655925893819216,1.2395610277888913,24.955925893819217,1.4044162235916477,10.145788743042221,1.404416223591646,25.445788743042222
1.2382950507987438,9.640940923714908,1.2382950507987438,24.94094092371491,1.403168327207462,10.130833998719883,1.4031683272074602,25.430833998719883
1.237037459433612,9.62599816924303,1.237037459433612,24.92599816924303,1.4019287092387884,10.115921273465293,1.4019287092387884,25.415921273465294
1.2345500297834793,9.59916372600856,1.2345500297834775,24.89916372600856,1.399476730333479,10.089146197097229,1.399476730333479,25.38914619709723
1.2315535089347733,9.56744480796292,1.2315535089347733,24.86744480796292,1.3965228989689749,10.057498791389886,1.3965228989689749,25.357498791389887
1.2285591847233928,9.536061752244681,1.2285591847233945,24.83606175224468,1.3935712423420856,10.026187198315373,1.3935712423420838,25.326187198315374
1.2252029576482926,9.502631320882895,1.2252029576482926,24.802631320882895,1.3902628199654377,9.992836861028064,1.3902628199654359,25.292836861028064
1.2147449373489625,9.401958645924669,1.2147449373489607,24.70195864592467,1.3799533719053922,9.892413647079284,1.379953371905394,25.192413647079285
1.2042389199747614,9.301845052507085,1.2042389199747632,24.601845052507088,1.369596577921321,9.792550650649687,1.369596577921321,25.092550650649688
1.193388941809438,9.203992752363561,1.193388941809438,24.503992752363562,1.3589006039976752,9.694957121501876,1.3589006039976752,24.994957121501876
1.1823124661185078,9.108075425324122,1.182312466118507,24.40807542532412,1.3479813065022679,9.599303955511813,1.347981306502266,24.89930395551181
1.1712090919363805,9.012351214561452,1.1712090919363796,24.312351214561453,1.3370354859034137,9.503844545463824,1.3370354859034137,24.803844545463825
1.1593407757083245,8.918363170904058,1.1593407757083263,24.21836317090406,1.3253422654801668,9.410146160652989,1.3253422654801668,24.71014616065299
1.1467675233602428,8.826233312019589,1.1467675233602428,24.12623331201959,1.3129758059296694,9.318343571980263,1.3129758059296677,24.61834357198026
1.1341272000897078,8.734200817622517,1.1341272000897078,24.03420081762252,1.3005433215381554,9.226640054593481,1.3005433215381537,24.526640054593482
1.1213307264015366,8.64265681928491,1.1213307264015384,23.942656819284913,1.2879592852563064,9.13543089461348,1.2879592852563064,24.435430894613482
1.1081089125694925,8.554698062931772,1.1081089125694952,23.854698062931774,1.2750310848797843,9.047882325346235,1.2750310848797817,24.347882325346234
1.0947083588793873,8.466453643719124,1.0947083588793873,23.766453643719124,1.261928006542985,8.960053568249089,1.2619280065429876,24.26005356824909
1.0811540201760579,8.378000335210706,1.0811540201760579,23.678000335210704,1.2486744684478133,8.872020634144645,1.2486744684478097,24.172020634144644
