,b,y,x,r
2112,0.06878431372549021,20,32,0.5894168767607109
2113,0.07070588235294117,20,33,0.5844759495766711
2114,0.09725490196078435,20,34,0.5797494792197421
2115,0.11886274509803918,20,35,0.575242751954671
2116,0.12160784313725492,20,36,0.5709609712546159
2117,0.12525490196078426,20,37,0.5669092341058273
2118,0.13192156862745097,20,38,0.563092506371473
2119,0.12635294117647056,20,39,0.5595155974124127
2120,0.16564705882352937,20,40,0.5561831341947014
2121,0.1586274509803921,20,41,0.5530995351438326
2122,0.09478431372549023,20,42,0.5502689840330964
2123,0.0827450980392157,20,43,0.5476954042167225
2124,0.10105882352941176,20,44,0.5453824335365342
2125,0.124235294117647,20,45,0.5433334002425723
2126,0.12470588235294122,20,46,0.5415513002725493
2127,0.1448627450980392,20,47,0.54003877623133
2128,0.13254901960784315,20,48,0.5387980983993786
2129,0.13701960784313727,20,49,0.5378311480780474
2130,0.1448627450980392,20,50,0.5371394035498839
2131,0.14513725490196072,20,51,0.5367239288942778
2132,0.15807843137254907,20,52,0.5365853658536586
2133,0.15780392156862744,20,53,0.5367239288942778
2134,0.0785490196078431,20,54,0.5371394035498839
2135,0.07215686274509803,20,55,0.5378311480780474
2136,0.049176470588235266,20,56,0.5387980983993786
2137,0.06486274509803924,20,57,0.54003877623133
2138,0.0452549019607843,20,58,0.5415513002725493
2139,0.049176470588235266,20,59,0.5433334002425723
2140,0.07407843137254899,20,60,0.5453824335365342
2141,0.09988235294117653,20,61,0.5476954042167225
2142,0.1007058823529412,20,62,0.5502689840330964
2143,0.18407843137254898,20,63,0.5530995351438326
2144,0.1577254901960784,20,64,0.5561831341947014
2145,0.14203921568627442,20,65,0.5595155974124127
2146,0.1747843137254902,20,66,0.563092506371473
2147,0.19047058823529417,20,67,0.5669092341058273
2148,0.16501960784313718,20,68,0.5709609712546159
2149,0.152156862745098,20,69,0.575242751954671
2150,0.11294117647058821,20,70,0.5797494792197421
2151,0.13901960784313727,20,71,0.5844759495766711
2152,0.1459607843137255,20,72,0.5894168767607109
2153,0.1459607843137255,20,73,0.5945669143048247
2154,0.18070588235294116,20,74,0.5999206768901875
2213,0.18517647058823528,21,29,0.59469196781642
2214,0.14294117647058824,21,30,0.5890382768650401
2215,0.09258823529411764,21,31,0.5835846884880682
2216,0.10015686274509805,21,32,0.5783368634819208
2217,0.09925490196078435,21,33,0.573300452367959
2218,0.14121568627450976,21,34,0.5684810741856909
2219,0.15470588235294125,21,35,0.5638842937413118
2220,0.12470588235294122,21,36,0.5595155974124127
2221,0.13701960784313727,21,37,0.5553803676456439
2222,0.14878431372549017,21,38,0.5514838563217079
2223,0.16164705882352937,21,39,0.5478311572003951
2224,0.14823529411764702,21,40,0.5444271776963345
2225,0.13254901960784315,21,41,0.5412766102724914
2226,0.07572549019607844,21,42,0.5383839037718077
2227,0.09058823529411764,21,43,0.5357532350363121
2228,0.07552941176470584,21,44,0.5333884811860741
2229,0.09478431372549023,21,45,0.5312931929461455
2230,0.12945098039215686,21,46,0.5294705694168881
2231,0.14878431372549017,21,47,0.5279234346808137
2232,0.14431372549019605,21,48,0.5266542166265654
2233,0.1330980392156863,21,49,0.5256649283476172
2234,0.11741176470588233,21,50,0.5249571524397777
2235,0.15298039215686277,21,51,0.524532028478209
2236,0.1423921568627451,21,52,0.524390243902439
2237,0.1617254901960784,21,53,0.524532028478209
2238,0.0785490196078431,21,54,0.5249571524397777
2239,0.07215686274509803,21,55,0.5256649283476172
2240,0.05701960784313731,21,56,0.5266542166265654
2241,0.05309803921568623,21,57,0.5279234346808137
2242,0.060941176470588276,21,58,0.5294705694168881
2243,0.05309803921568623,21,59,0.5312931929461455
2244,0.06286274509803924,21,60,0.5333884811860741
2245,0.06231372549019609,21,61,0.5357532350363121
2246,0.08894117647058819,21,62,0.5383839037718077
2247,0.11376470588235299,21,63,0.5412766102724914
2248,0.17231372549019608,21,64,0.5444271776963345
2249,0.14878431372549017,21,65,0.5478311572003951
2250,0.1459607843137255,21,66,0.5514838563217079
2251,0.20478431372549022,21,67,0.5553803676456439
2252,0.15325490196078428,21,68,0.5595155974124127
2253,0.14988235294117647,21,69,0.5638842937413118
2254,0.14431372549019605,21,70,0.5684810741856909
2255,0.14878431372549017,21,71,0.573300452367959
2256,0.1694901960784314,21,72,0.5783368634819208
2257,0.16164705882352937,21,73,0.5835846884880682
2258,0.14541176470588235,21,74,0.5890382768650401
2259,0.14933333333333332,21,75,0.59469196781642
2315,0.18372549019607842,22,27,0.5960658248707286
2316,0.16156862745098044,22,28,0.5899212986559914
2317,0.17733333333333334,22,29,0.5839668240884331
2318,0.10709803921568628,22,30,0.578208272738034
2319,0.10709803921568628,22,31,0.5726515552133608
2320,0.1082745098039215,22,32,0.5673026024201467
2321,0.10901960784313725,22,33,0.5621673449568834
2322,0.1448627450980392,22,34,0.557251690672969
2323,0.13701960784313727,22,35,0.5525615004492289
2324,0.12470588235294122,22,36,0.5481025622986397
2325,0.1233333333333333,22,37,0.5438805639262868
2326,0.16447058823529415,22,38,0.5399010639311866
2327,0.15607843137254895,22,39,0.5361694618775759
2328,0.180156862745098,22,40,0.5326909675083306
2329,0.14878431372549017,22,41,0.5294705694168881
2330,0.09533333333333327,22,42,0.526513003534705
2331,0.0827450980392157,22,43,0.5238227218271836
2332,0.09905882352941175,22,44,0.5214038616202914
2333,0.08576470588235297,22,45,0.5192602160010675
2334,0.14788235294117646,22,46,0.5173952057462543
2335,0.1750588235294117,22,47,0.5158118532330879
2336,0.12470588235294122,22,48,0.5145127587738778
2337,0.1330980392156863,22,49,0.5135000797909097
2338,0.14094117647058824,22,50,0.5127755132104546
2339,0.10199999999999998,22,51,0.5123402814048782
2340,0.1306274509803922,22,52,0.5121951219512195
2341,0.14211764705882357,22,53,0.5123402814048782
2342,0.13737254901960783,22,54,0.5127755132104546
2343,0.06039215686274513,22,55,0.5135000797909097
2344,0.049176470588235266,22,56,0.5145127587738778
2345,0.05309803921568623,22,57,0.5158118532330879
2346,0.049176470588235266,22,58,0.5173952057462543
2347,0.049176470588235266,22,59,0.5192602160010675
2348,0.055568627450980346,22,60,0.5214038616202914
2349,0.06231372549019609,22,61,0.5238227218271836
2350,0.0945098039215686,22,62,0.526513003534705
2351,0.10592156862745095,22,63,0.5294705694168881
2352,0.14431372549019605,22,64,0.5326909675083306
2353,0.15270588235294114,22,65,0.5361694618775759
2354,0.14094117647058824,22,66,0.5399010639311866
2355,0.18909803921568624,22,67,0.5438805639262868
2356,0.15909803921568622,22,68,0.5481025622986397
2357,0.1577254901960784,22,69,0.5525615004492289
2358,0.14203921568627442,22,70,0.557251690672969
2359,0.14878431372549017,22,71,0.5621673449568834
2360,0.14988235294117647,22,72,0.5673026024201467
2361,0.16164705882352937,22,73,0.5726515552133608
2362,0.15325490196078428,22,74,0.578208272738034
2363,0.16501960784313718,22,75,0.5839668240884331
2364,0.17796078431372542,22,76,0.5899212986559914
2365,0.13874509803921564,22,77,0.5960658248707286
2417,0.15427450980392154,23,25,0.5986798882260281
2418,0.18956862745098046,23,26,0.5920602972652856
2419,0.1699607843137254,23,27,0.5856198635874619
2420,0.17960784313725486,23,28,0.5793645619619368
2421,0.1403921568627451,23,29,0.573300452367959
2422,0.12917647058823523,23,30,0.5674336645917971
2423,0.11650980392156862,23,31,0.5617703807941962
2424,0.11850980392156862,23,32,0.5563168159979046
2425,0.1557254901960784,23,33,0.551079196472927
2426,0.18317647058823527,23,34,0.5460637360301978
2427,0.154156862745098,23,35,0.5412766102724914
2428,0.11686274509803918,23,36,0.5367239288942778
2429,0.12078431372549026,23,37,0.5324117061693432
2430,0.14294117647058824,23,38,0.5283458298154748
2431,0.15470588235294125,23,39,0.524532028478209
2432,0.13454901960784316,23,40,0.5209758381291177
2433,0.1053725490196078,23,41,0.5176825677266128
2434,0.08356862745098037,23,42,0.5146572645368095
2435,0.09925490196078435,23,43,0.5119046795564721
2436,0.10619607843137258,23,44,0.5094292335172054
2437,0.0905098039215686,23,45,0.5072349839776932
2438,0.1683921568627451,23,46,0.5053255940268454
2439,0.1350980392156862,23,47,0.5037043031234971
2440,0.12670588235294122,23,48,0.5023739005864873
2441,0.14121568627450976,23,49,0.5013367022218163
2442,0.12827450980392152,23,50,0.5005945305310681
2443,0.14823529411764702,23,51,0.5001486988880458
2444,0.11494117647058821,23,52,0.5
2445,0.14603921568627443,23,53,0.5001486988880458
2446,0.13937254901960783,23,54,0.5005945305310681
2447,0.07360784313725488,23,55,0.5013367022218163
