WFC3_UVIS_F606W,WFC3_UVIS_F814W,color,mag
25.991539613165386,24.5384071231246,1.4531324900407867,25.991539613165386
25.815659536004404,24.3794193507605,1.4362401852439035,25.815659536004404
25.796614449710017,24.362171921376014,1.434442528334003,25.796614449710017
25.77749392770562,24.344856990207564,1.4326369374980565,25.77749392770562
25.75829879395669,24.327474622468092,1.4308241714885988,25.75829879395669
25.739055552609635,24.31004815094748,1.4290074016621546,25.739055552609635
25.71974871156953,24.292564333770514,1.4271843777990156,25.71974871156953
25.7005209093541,24.27507024163176,1.425450667722341,25.7005209093541
25.681642620087068,24.25770965049639,1.4239329695906768,25.681642620087068
25.66266218432813,24.240255890864567,1.4224062934635633,25.66266218432813
25.643754764087515,24.222870448427237,1.4208843156602775,25.643754764087515
25.625018327480362,24.205646823572966,1.4193715039073957,25.625018327480362
25.606300766493113,24.188442783355733,1.417857983137381,25.606300766493113
25.587885599887336,24.17152333133074,1.4163622685565969,25.587885599887336
25.57112960071988,24.156162695402713,1.414966905317165,25.57112960071988
25.554678320175412,24.141090289669037,1.413588030506375,25.554678320175412
25.538518528553215,24.12629076662357,1.4122277619296462,25.538518528553215
25.52260696928422,24.11172202717797,1.4108849421062502,25.52260696928422
25.506921567196137,24.097360646891943,1.4095609203041946,25.506921567196137
25.491421146599848,24.083166908999665,1.4082542376001825,25.491421146599848
25.47607378966164,24.069118068141794,1.4069557215198465,25.47607378966164
25.46086729411335,24.055190182872757,1.4056771112405926,25.46086729411335
25.445788743042222,24.041372519450576,1.404416223591646,25.445788743042222
25.430833998719883,24.027665671512423,1.4031683272074602,25.430833998719883
25.415921273465294,24.013992564226506,1.4019287092387884,25.415921273465294
25.38914619709723,23.98966946676375,1.399476730333479,25.38914619709723
25.357498791389887,23.96097589242091,1.3965228989689749,25.357498791389887
25.326187198315374,23.93261595597329,1.3935712423420838,25.326187198315374
25.292836861028064,23.90257404106263,1.3902628199654359,25.292836861028064
25.192413647079285,23.81246027517389,1.379953371905394,25.192413647079285
25.092550650649688,23.722954072728367,1.369596577921321,25.092550650649688
24.994957121501876,23.6360565175042,1.3589006039976752,24.994957121501876
24.89930395551181,23.551322649009546,1.347981306502266,24.89930395551181
24.803844545463825,23.46680905956041,1.3370354859034137,24.803844545463825
24.71014616065299,23.384803895172823,1.3253422654801668,24.71014616065299
24.61834357198026,23.305367766050594,1.3129758059296677,24.61834357198026
24.526640054593482,23.22609673305533,1.3005433215381537,24.526640054593482
24.435430894613482,23.147471609357176,1.2879592852563064,24.435430894613482
24.347882325346234,23.072851240466452,1.2750310848797817,24.347882325346234
24.26005356824909,22.998125561706104,1.2619280065429876,24.26005356824909
24.172020634144644,22.923346165696834,1.2486744684478097,24.172020634144644
24.083014843671506,22.848131577302983,1.2348832663685236,24.083014843671506
23.99042225570205,22.772313481414827,1.2181087742872236,23.99042225570205
23.89783319377719,22.6972377726099,1.2005954211672893,23.89783319377719
23.804959074943625,22.62210084670275,1.1828582282408746,23.804959074943625
23.712189973949435,22.54735913991838,1.1648308340310543,23.712189973949435
23.62832928346976,22.48049276236413,1.1478365211056314,23.62832928346976
23.543986460902776,22.413530912672336,1.1304555482304401,23.543986460902776
23.458971731699748,22.34621130794428,1.1127604237554678,23.458971731699748
23.372277673625085,22.277997401881795,1.0942802717432905,23.372277673625085
23.28501553100085,22.20987732318799,1.0751382078128628,23.28501553100085
23.196471668164104,22.141723379637135,1.0547482885269694,23.196471668164104
23.109388481855188,22.072622270146603,1.036766211708585,23.109388481855188
23.02330920256627,22.003026477501763,1.020282725064508,23.02330920256627
22.936440007886816,21.932965817150286,1.0034741907365294,22.936440007886816
22.84590610568885,21.860905400818368,0.9850007048704832,22.84590610568885
22.753644873428037,21.78920038514857,0.9644444882794687,22.753644873428037
22.663333895541932,21.717463903066356,0.9458699924755756,22.663333895541932
22.575485886686415,21.64578795863907,0.9296979280473465,22.575485886686415
22.488291451182597,21.57380202118734,0.9144894299952568,22.488291451182597
22.404673303565183,21.50466693451193,0.9000063690532514,22.404673303565183
22.320516534866872,21.435133258674824,0.8853832761920479,22.320516534866872
22.240189009565498,21.367791661911706,0.8723973476537914,22.240189009565498
22.160631375192274,21.300820112038586,0.8598112631536878,22.160631375192274
22.08116658132297,21.233759924170975,0.8474066571519963,22.08116658132297
22.001752833874324,21.166678990122456,0.8350738437518679,22.001752833874324
21.92178390918345,21.099248532873766,0.8225353763096841,21.92178390918345
21.845664733711924,21.034074172816517,0.8115905608954073,21.845664733711924
21.82273032873287,21.01443867794664,0.8082916507862308,21.82273032873287
21.79983733196302,20.994838072079332,0.8049992598836866,21.79983733196302
21.777065348890794,20.975308500590664,0.8017568483001298,21.777065348890794
21.754499378753927,20.9558779494158,0.7986214293381266,21.754499378753927
21.732138253082944,20.936593760267808,0.7955444928151358,21.732138253082944
21.70966645010633,20.917207896698738,0.7924585534075916,21.70966645010633
21.687082134094776,20.897717352512537,0.7893647815822398,21.687082134094776
21.664381262104577,20.878120556902843,0.7862607052017339,21.664381262104577
21.641568617576702,20.858420791134492,0.7831478264422103,21.641568617576702
21.618633606545863,20.838607850547156,0.7800257559987074,21.618633606545863
21.59557270024587,20.818679465454963,0.7768932347909079,21.59557270024587
21.57239156730713,20.79863903368516,0.7737525336219697,21.57239156730713
21.549190597316084,20.778555566842975,0.7706350304731089,21.549190597316084
21.5266283879808,20.75887971604759,0.7677486719332087,21.5266283879808
21.503677770451404,20.738837622441654,0.7648401480097498,21.503677770451404
21.48059280252502,20.718668616469394,0.7619241860556265,21.48059280252502
